title,expected_role_family,expected_seniority,expected_track
Staff Sales Engineer,Other,Staff+,IC
Entry Level Software Engineer,SWE,Entry,IC
Junior Backend Engineer,SWE,Entry,IC
New Grad Frontend Engineer,SWE,Entry,IC
Software Engineer Intern,SWE,Intern,IC
Data Science Intern,Data Science,Intern,IC
Junior Data Engineer,Data Engineering,Entry,IC
Entry Level Product Manager,Product,Entry,Manager
Junior Technical Program Manager,Program,Entry,Manager
Distinguished Software Engineer,SWE,Staff+,IC
